Fish ID,Fish Name,Rarity,Habitat
131,Glitch Crawler MK-I,Legendary,Flooded Metro
132,Titan Jelly Echo,Epic,Corporate Canals
133,Storm Salmon MK-I,Legendary,Blackwater Trenches
134,Circuit Manta Pulse,Uncommon,Corporate Canals
135,Storm Stingray Flux,Uncommon,Frozen Docks
136,Grim Jelly Reactor,Rare,Skywater Reservoir
137,Radiant Minnow Prime,Legendary,Toxic Reefs
138,Quantum Dragonfish MK-II,Epic,Toxic Reefs
139,Echo Piranha Ion,Common,Skywater Reservoir
140,Crystal Manta MK-II,Epic,Neon Harbor
141,Radiant Snapper X,Rare,Flooded Metro
142,Nova Piranha Core,Uncommon,Frozen Docks
143,Chrome Ray Core,Rare,Corporate Canals
144,Static Squid Specter,Legendary,Frozen Docks
145,Quantum Crawler Echo,Uncommon,Flooded Metro
146,Nova Ray Nova,Epic,Neon Harbor
147,Ghost Manta Flux,Legendary,Flooded Metro
148,Nova Eel Cipher,Rare,Deep Abyss
149,Solar Swordfish Zero,Legendary,Corporate Canals
150,Storm Carp Flux,Epic,Frozen Docks
151,Static Minnow Omega,Legendary,Frozen Docks
152,Chrome Carp Pulse,Epic,Blackwater Trenches
153,Abyss Crawler Omega,Uncommon,Toxic Reefs
154,Circuit Minnow Flux,Epic,Neon Harbor
155,Void Pike Vortex,Legendary,Frozen Docks
156,Solar Koi Nova,Rare,Skywater Reservoir
157,Hydra Barracuda Prime,Legendary,Neon Harbor
158,Scarlet Minnow Nova,Common,Blackwater Trenches
159,Vapor Salmon Reactor,Common,Deep Abyss
160,Quantum Perch Delta,Epic,Corporate Canals
161,Turbo Leviathan Pulse,Epic,Neon Harbor
162,Hydra Catfish Cipher,Rare,Toxic Reefs
163,Ghost Carp Cipher,Epic,Toxic Reefs
164,Nova Leviathan Ion,Uncommon,Corporate Canals
165,Echo Guppy Protocol,Rare,Skywater Reservoir
166,Glitch Tuna Vortex,Rare,Blackwater Trenches
167,Venom Jelly Delta,Common,Skywater Reservoir
168,Titan Kraken Cipher,Legendary,Flooded Metro
169,Cyber Squid X,Epic,Flooded Metro
170,Nano Kraken X,Common,Blackwater Trenches
171,Storm Shark X,Common,Neon Harbor
172,Neon Skipper Ion,Legendary,Neon Harbor
173,Nano Perch Ion,Epic,Neon Harbor
174,Void Guppy Cipher,Rare,Flooded Metro
175,Hydra Dragonfish Reactor,Uncommon,Neon Harbor
176,Pulse Seahorse Core,Uncommon,Corporate Canals
177,Drift Koi Reactor,Legendary,Neon Harbor
178,Turbo Eel Echo,Epic,Corporate Canals
179,Lunar Whale Specter,Uncommon,Blackwater Trenches
180,Venom Minnow Flux,Rare,Frozen Docks
181,Titan Swordfish Echo,Uncommon,Corporate Canals
182,Pulse Stingray Pulse,Legendary,Flooded Metro
183,Void Jelly Specter,Uncommon,Frozen Docks
184,Ghost Seahorse X,Epic,Blackwater Trenches
185,Chrome Guppy Cipher,Legendary,Frozen Docks
186,Neon Squid Ultra,Rare,Flooded Metro
187,Cyber Pike Flux,Common,Frozen Docks
188,Circuit Stingray Core,Epic,Corporate Canals
189,Plasma Swordfish X,Legendary,Flooded Metro
190,Hydra Carp Protocol,Common,Blackwater Trenches
191,Storm Ray X,Legendary,Corporate Canals
192,Radiant Manta Flux,Epic,Neon Harbor
193,Grim Snapper X,Legendary,Toxic Reefs
194,Hydra Guppy Omega,Epic,Frozen Docks
195,Venom Tuna MK-I,Rare,Blackwater Trenches
196,Abyss Whale Nova,Epic,Frozen Docks
197,Venom Salmon Prime,Rare,Flooded Metro
198,Titan Skipper Nova,Legendary,Frozen Docks
199,Vapor Manta Core,Epic,Frozen Docks
200,Nano Tuna Omega,Legendary,Deep Abyss
201,Venom Whale Ion,Rare,Frozen Docks
202,Lunar Whale Zero,Rare,Toxic Reefs
203,Turbo Skipper Nova,Rare,Toxic Reefs
204,Venom Barracuda Delta,Uncommon,Flooded Metro
205,Solar Carp Protocol,Legendary,Neon Harbor
206,Quantum Kraken VX,Legendary,Toxic Reefs
207,Nova Marlin Protocol,Rare,Toxic Reefs
208,Drift Swordfish X,Rare,Deep Abyss
209,Quantum Kraken Cipher,Common,Skywater Reservoir
210,Void Bass VX,Legendary,Frozen Docks
211,Void Tuna Reactor,Rare,Corporate Canals
212,Nano Crawler Core,Uncommon,Blackwater Trenches
213,Turbo Koi Zero,Rare,Frozen Docks
214,Crystal Tuna Protocol,Rare,Corporate Canals
215,Nano Dragonfish Omega,Common,Corporate Canals
216,Lunar Salmon Vortex,Epic,Neon Harbor
217,Neon Perch Echo,Common,Toxic Reefs
218,Turbo Manta Zero,Rare,Neon Harbor
219,Drift Bass Cipher,Rare,Blackwater Trenches
220,Radiant Piranha Core,Rare,Corporate Canals
221,Nano Shark Vortex,Uncommon,Flooded Metro
222,Chrome Perch Reactor,Uncommon,Corporate Canals
223,Pulse Piranha Echo,Legendary,Deep Abyss
224,Ghost Stingray VX,Common,Neon Harbor
225,Chrome Barracuda Zero,Rare,Frozen Docks
226,Holo Crawler Vortex,Uncommon,Neon Harbor
227,Crystal Jelly Omega,Uncommon,Neon Harbor
228,Scarlet Koi Cipher,Rare,Deep Abyss
229,Titan Angler Protocol,Rare,Frozen Docks
230,Glitch Squid Ultra,Common,Neon Harbor
231,Nova Angler Echo,Uncommon,Frozen Docks
232,Vapor Angler Protocol,Rare,Flooded Metro
233,Ghost Barracuda Core,Rare,Corporate Canals
234,Glitch Eel Prime,Uncommon,Frozen Docks
235,Static Jelly VX,Rare,Blackwater Trenches
236,Holo Catfish Ion,Common,Neon Harbor
237,Nano Kraken Specter,Legendary,Flooded Metro
238,Chrome Leviathan Ultra,Legendary,Flooded Metro
239,Obsidian Jelly Reactor,Common,Corporate Canals
240,Obsidian Jelly Omega,Uncommon,Neon Harbor
241,Quantum Guppy Pulse,Common,Neon Harbor
242,Echo Bass MK-I,Legendary,Deep Abyss
243,Chrome Tuna VX,Common,Frozen Docks
244,Void Angler Protocol,Common,Deep Abyss
245,Obsidian Barracuda MK-I,Common,Frozen Docks
246,Plasma Seahorse Reactor,Uncommon,Skywater Reservoir
247,Nano Jelly Vortex,Legendary,Corporate Canals
248,Obsidian Shark Nova,Legendary,Corporate Canals
249,Plasma Ray Vortex,Uncommon,Blackwater Trenches
250,Nova Eel MK-II,Epic,Neon Harbor
251,Grim Catfish Vortex,Common,Corporate Canals
252,Pulse Bass Cipher,Uncommon,Flooded Metro
253,Lunar Carp VX,Uncommon,Toxic Reefs
254,Neon Angler MK-II,Legendary,Corporate Canals
255,Scarlet Marlin X,Legendary,Frozen Docks
256,Crystal Skipper VX,Legendary,Skywater Reservoir
257,Storm Carp Omega,Rare,Skywater Reservoir
258,Void Shark VX,Uncommon,Toxic Reefs
259,Pulse Seahorse Echo,Rare,Corporate Canals
260,Quantum Tuna Specter,Uncommon,Blackwater Trenches
261,Holo Kraken Pulse,Epic,Frozen Docks
262,Holo Piranha Ultra,Legendary,Corporate Canals
263,Drift Ray Prime,Uncommon,Neon Harbor
264,Circuit Marlin Pulse,Legendary,Corporate Canals
265,Turbo Stingray Cipher,Uncommon,Deep Abyss
266,Quantum Eel Zero,Rare,Toxic Reefs
267,Void Jelly Prime,Epic,Skywater Reservoir
268,Turbo Seahorse MK-I,Legendary,Corporate Canals
269,Abyss Seahorse MK-I,Legendary,Frozen Docks
270,Glitch Eel VX,Uncommon,Skywater Reservoir
271,Glitch Bass Pulse,Uncommon,Toxic Reefs
272,Neon Tuna Vortex,Common,Deep Abyss
273,Ghost Koi Vortex,Uncommon,Neon Harbor
274,Ghost Salmon Vortex,Common,Toxic Reefs
275,Glitch Snapper Zero,Common,Blackwater Trenches
276,Grim Stingray Ultra,Common,Skywater Reservoir
277,Solar Dragonfish Prime,Uncommon,Skywater Reservoir
278,Ghost Snapper MK-II,Rare,Skywater Reservoir
279,Pulse Marlin Prime,Uncommon,Blackwater Trenches
280,Turbo Swordfish VX,Uncommon,Corporate Canals
281,Venom Stingray Specter,Rare,Deep Abyss
282,Crystal Tuna MK-II,Rare,Frozen Docks
283,Chrome Leviathan MK-I,Uncommon,Deep Abyss
284,Scarlet Ray Cipher,Epic,Skywater Reservoir
285,Storm Eel Ion,Uncommon,Blackwater Trenches
286,Glitch Carp Omega,Rare,Skywater Reservoir
287,Storm Crawler Pulse,Legendary,Neon Harbor
288,Quantum Guppy Echo,Uncommon,Blackwater Trenches
289,Obsidian Marlin Core,Legendary,Neon Harbor
290,Circuit Shark MK-I,Rare,Flooded Metro
291,Chrome Koi Ultra,Uncommon,Deep Abyss
292,Quantum Seahorse X,Rare,Frozen Docks
293,Storm Leviathan Protocol,Common,Blackwater Trenches
294,Lunar Leviathan MK-I,Legendary,Deep Abyss
295,Radiant Pike Pulse,Rare,Blackwater Trenches
296,Cyber Leviathan Pulse,Common,Neon Harbor
297,Nano Snapper Cipher,Uncommon,Blackwater Trenches
298,Holo Leviathan Ultra,Legendary,Frozen Docks
299,Drift Pike X,Common,Neon Harbor
300,Vapor Whale Reactor,Uncommon,Toxic Reefs
301,Nova Pike Core,Legendary,Deep Abyss
302,Solar Ray X,Rare,Flooded Metro
303,Quantum Minnow Nova,Uncommon,Skywater Reservoir
304,Obsidian Whale Flux,Uncommon,Neon Harbor
305,Hydra Leviathan Protocol,Epic,Neon Harbor
306,Titan Stingray MK-II,Legendary,Deep Abyss
307,Lunar Guppy Echo,Uncommon,Neon Harbor
308,Circuit Koi Echo,Rare,Frozen Docks
309,Glitch Squid Vortex,Epic,Frozen Docks
310,Nano Squid Zero,Epic,Frozen Docks
311,Lunar Angler Echo,Epic,Deep Abyss
312,Crystal Shark VX,Epic,Toxic Reefs
313,Storm Swordfish Zero,Rare,Neon Harbor
314,Circuit Whale Delta,Epic,Skywater Reservoir
315,Glitch Stingray Vortex,Uncommon,Flooded Metro
316,Plasma Perch Core,Uncommon,Toxic Reefs
317,Titan Marlin MK-II,Legendary,Toxic Reefs
318,Abyss Angler Vortex,Common,Blackwater Trenches
319,Grim Swordfish Reactor,Epic,Skywater Reservoir
320,Grim Bass Flux,Legendary,Flooded Metro
321,Solar Piranha MK-II,Epic,Blackwater Trenches
322,Abyss Carp Ultra,Uncommon,Frozen Docks
323,Crystal Eel VX,Legendary,Frozen Docks
324,Abyss Kraken Zero,Epic,Flooded Metro
325,Titan Eel Core,Uncommon,Blackwater Trenches
326,Storm Guppy MK-II,Uncommon,Skywater Reservoir
327,Plasma Pike MK-I,Legendary,Frozen Docks
328,Titan Crawler Cipher,Epic,Blackwater Trenches
329,Static Bass Reactor,Epic,Corporate Canals
330,Radiant Carp Specter,Rare,Frozen Docks
331,Drift Whale Delta,Rare,Deep Abyss
332,Pulse Piranha VX,Legendary,Flooded Metro
333,Hydra Kraken Protocol,Common,Deep Abyss
334,Radiant Snapper Pulse,Rare,Skywater Reservoir
335,Glitch Skipper Ultra,Epic,Corporate Canals
336,Echo Shark Echo,Legendary,Skywater Reservoir
337,Chrome Swordfish Nova,Rare,Frozen Docks
338,Static Dragonfish Protocol,Common,Skywater Reservoir
339,Hydra Jelly Prime,Rare,Skywater Reservoir
340,Nova Ray Prime,Common,Skywater Reservoir
341,Turbo Crawler Vortex,Rare,Frozen Docks
342,Plasma Squid Core,Epic,Blackwater Trenches
343,Circuit Perch Ion,Rare,Corporate Canals
344,Void Marlin Nova,Rare,Flooded Metro
345,Radiant Kraken Cipher,Common,Deep Abyss
346,Nova Leviathan Vortex,Legendary,Neon Harbor
347,Drift Eel Cipher,Uncommon,Neon Harbor
348,Circuit Marlin Specter,Epic,Blackwater Trenches
349,Pulse Salmon Delta,Common,Deep Abyss
350,Plasma Kraken Omega,Uncommon,Corporate Canals
351,Hydra Squid Pulse,Uncommon,Frozen Docks
352,Nova Leviathan VX,Epic,Corporate Canals
353,Vapor Pike MK-I,Common,Blackwater Trenches
354,Echo Dragonfish Echo,Legendary,Blackwater Trenches
355,Quantum Ray Pulse,Uncommon,Frozen Docks
356,Void Jelly Omega,Common,Skywater Reservoir
357,Titan Tuna Delta,Rare,Toxic Reefs
358,Drift Stingray Vortex,Legendary,Blackwater Trenches
359,Scarlet Whale Cipher,Uncommon,Flooded Metro
360,Void Seahorse Zero,Epic,Frozen Docks
361,Echo Koi Protocol,Uncommon,Neon Harbor
362,Radiant Pike Flux,Rare,Corporate Canals
363,Vapor Bass Echo,Rare,Flooded Metro
364,Echo Koi Prime,Uncommon,Skywater Reservoir
365,Chrome Kraken Flux,Rare,Frozen Docks
366,Nova Angler Ion,Legendary,Blackwater Trenches
367,Hydra Koi Ion,Rare,Flooded Metro
368,Turbo Whale Echo,Epic,Skywater Reservoir
369,Echo Marlin Echo,Uncommon,Skywater Reservoir
370,Circuit Stingray Flux,Rare,Neon Harbor
371,Solar Guppy Flux,Epic,Frozen Docks
372,Nova Tuna Delta,Uncommon,Deep Abyss
373,Neon Piranha Ultra,Common,Toxic Reefs
374,Pulse Jelly Specter,Epic,Deep Abyss
375,Crystal Dragonfish Zero,Uncommon,Corporate Canals
376,Quantum Bass Pulse,Epic,Skywater Reservoir
377,Scarlet Squid Reactor,Epic,Deep Abyss
378,Scarlet Tuna MK-II,Common,Deep Abyss
379,Venom Snapper Ion,Rare,Flooded Metro
380,Grim Guppy MK-I,Epic,Corporate Canals
381,Titan Stingray MK-I,Legendary,Flooded Metro
382,Scarlet Catfish Zero,Rare,Flooded Metro
383,Scarlet Piranha Ion,Common,Neon Harbor
384,Storm Koi VX,Epic,Deep Abyss
385,Quantum Jelly Omega,Epic,Blackwater Trenches
386,Vapor Jelly Ion,Common,Frozen Docks
387,Vapor Snapper Vortex,Epic,Skywater Reservoir
388,Pulse Ray VX,Rare,Flooded Metro
389,Radiant Whale MK-I,Rare,Skywater Reservoir
390,Crystal Perch X,Epic,Corporate Canals
391,Venom Barracuda X,Epic,Deep Abyss
392,Venom Shark Ion,Common,Frozen Docks
393,Crystal Barracuda Protocol,Rare,Blackwater Trenches
394,Storm Squid Flux,Uncommon,Skywater Reservoir
395,Vapor Stingray Pulse,Uncommon,Flooded Metro
396,Venom Jelly Omega,Rare,Skywater Reservoir
397,Circuit Ray MK-I,Rare,Flooded Metro
398,Radiant Marlin Echo,Legendary,Neon Harbor
399,Turbo Shark MK-II,Epic,Toxic Reefs
400,Abyss Snapper MK-II,Common,Blackwater Trenches
401,Circuit Koi Core,Epic,Flooded Metro
402,Hydra Catfish MK-II,Legendary,Blackwater Trenches
403,Nova Seahorse Pulse,Uncommon,Blackwater Trenches
404,Nano Eel MK-II,Epic,Frozen Docks
405,Nova Kraken Delta,Rare,Flooded Metro
406,Abyss Snapper VX,Common,Skywater Reservoir
407,Obsidian Minnow Nova,Common,Neon Harbor
408,Radiant Ray Zero,Rare,Toxic Reefs
409,Radiant Whale Cipher,Common,Corporate Canals
410,Venom Leviathan MK-II,Rare,Corporate Canals
411,Holo Catfish Echo,Common,Frozen Docks
412,Holo Squid Cipher,Rare,Frozen Docks
413,Echo Piranha Zero,Legendary,Deep Abyss
414,Lunar Shark Delta,Rare,Deep Abyss
415,Radiant Koi X,Uncommon,Neon Harbor
416,Storm Catfish Ion,Legendary,Toxic Reefs
417,Glitch Crawler Zero,Legendary,Skywater Reservoir
418,Nova Carp Reactor,Legendary,Skywater Reservoir
419,Glitch Kraken Core,Epic,Blackwater Trenches
420,Vapor Angler VX,Common,Flooded Metro
421,Pulse Skipper Delta,Rare,Toxic Reefs
422,Glitch Squid MK-II,Uncommon,Corporate Canals
423,Nova Tuna Flux,Epic,Blackwater Trenches
424,Storm Seahorse Flux,Epic,Blackwater Trenches
425,Scarlet Minnow Cipher,Legendary,Neon Harbor
426,Holo Seahorse Reactor,Rare,Blackwater Trenches
427,Plasma Catfish Ultra,Uncommon,Deep Abyss
428,Storm Snapper Ultra,Rare,Toxic Reefs
429,Drift Jelly Cipher,Legendary,Frozen Docks
430,Turbo Crawler Specter,Legendary,Neon Harbor
431,Storm Pike Flux,Common,Frozen Docks
432,Quantum Piranha Ion,Uncommon,Frozen Docks
433,Turbo Snapper Delta,Uncommon,Deep Abyss
434,Obsidian Kraken Delta,Epic,Corporate Canals
435,Obsidian Catfish Flux,Epic,Corporate Canals
436,Scarlet Koi Core,Legendary,Flooded Metro
437,Nova Bass MK-I,Rare,Flooded Metro
438,Storm Shark Cipher,Uncommon,Toxic Reefs
439,Crystal Carp Vortex,Common,Blackwater Trenches
440,Grim Seahorse Prime,Uncommon,Neon Harbor
441,Scarlet Seahorse Zero,Common,Frozen Docks
442,Quantum Shark Pulse,Epic,Frozen Docks
443,Drift Kraken Nova,Epic,Corporate Canals
444,Echo Koi Flux,Epic,Skywater Reservoir
445,Nano Bass Delta,Legendary,Skywater Reservoir
446,Ghost Pike Zero,Rare,Blackwater Trenches
447,Circuit Leviathan Prime,Legendary,Neon Harbor
448,Titan Seahorse Echo,Legendary,Corporate Canals
449,Holo Eel Vortex,Common,Flooded Metro
450,Circuit Eel Delta,Epic,Blackwater Trenches
451,Void Snapper Nova,Common,Toxic Reefs
452,Neon Ray Prime,Legendary,Neon Harbor
453,Obsidian Stingray Delta,Epic,Blackwater Trenches
454,Neon Catfish Nova,Common,Toxic Reefs
455,Obsidian Perch MK-II,Epic,Neon Harbor
456,Cyber Shark Prime,Common,Blackwater Trenches
457,Echo Barracuda Zero,Uncommon,Toxic Reefs
458,Scarlet Leviathan MK-I,Common,Neon Harbor
459,Drift Squid MK-II,Uncommon,Flooded Metro
460,Quantum Manta Ultra,Uncommon,Flooded Metro
461,Nova Stingray VX,Rare,Flooded Metro
462,Plasma Eel Delta,Legendary,Frozen Docks
463,Plasma Perch VX,Uncommon,Blackwater Trenches
464,Static Kraken Vortex,Rare,Neon Harbor
465,Abyss Squid Prime,Rare,Blackwater Trenches
466,Crystal Eel Vortex,Epic,Deep Abyss
467,Grim Stingray Prime,Rare,Corporate Canals
468,Plasma Stingray Ultra,Uncommon,Flooded Metro
469,Circuit Bass Pulse,Uncommon,Skywater Reservoir
470,Lunar Bass Nova,Uncommon,Flooded Metro
471,Scarlet Koi Nova,Uncommon,Toxic Reefs
472,Quantum Leviathan MK-II,Rare,Corporate Canals
473,Static Carp Ultra,Epic,Toxic Reefs
474,Echo Squid Delta,Rare,Skywater Reservoir
475,Glitch Crawler Pulse,Epic,Corporate Canals
476,Echo Catfish Echo,Common,Skywater Reservoir
477,Abyss Seahorse Flux,Uncommon,Toxic Reefs
478,Pulse Snapper Cipher,Rare,Frozen Docks
479,Scarlet Shark Specter,Epic,Skywater Reservoir
480,Obsidian Shark Protocol,Legendary,Toxic Reefs
481,Nova Kraken X,Rare,Corporate Canals
482,Grim Kraken Flux,Epic,Corporate Canals
483,Lunar Catfish Pulse,Epic,Flooded Metro
484,Storm Manta Prime,Common,Corporate Canals
485,Glitch Koi VX,Rare,Frozen Docks
486,Holo Crawler MK-I,Rare,Corporate Canals
487,Obsidian Leviathan MK-I,Common,Flooded Metro
488,Hydra Angler Omega,Common,Neon Harbor
489,Static Minnow MK-II,Uncommon,Neon Harbor
490,Lunar Squid Pulse,Rare,Frozen Docks
491,Grim Jelly Zero,Common,Flooded Metro
492,Obsidian Squid Vortex,Rare,Flooded Metro
493,Lunar Crawler Reactor,Uncommon,Toxic Reefs
494,Grim Crawler Pulse,Uncommon,Frozen Docks
495,Static Carp MK-II,Legendary,Blackwater Trenches
496,Abyss Crawler Core,Rare,Blackwater Trenches
497,Grim Carp Core,Legendary,Neon Harbor
498,Titan Whale Echo,Rare,Blackwater Trenches
499,Nano Jelly Cipher,Epic,Neon Harbor
500,Neon Crawler Ultra,Legendary,Corporate Canals
501,Circuit Marlin MK-I,Rare,Deep Abyss
502,Abyss Crawler Reactor,Common,Neon Harbor
503,Abyss Snapper Ion,Legendary,Neon Harbor
504,Nano Kraken Pulse,Rare,Corporate Canals
505,Void Catfish Protocol,Rare,Corporate Canals
506,Ghost Minnow Reactor,Epic,Deep Abyss
507,Plasma Marlin MK-I,Epic,Blackwater Trenches
508,Scarlet Shark VX,Epic,Corporate Canals
509,Drift Dragonfish Protocol,Uncommon,Skywater Reservoir
510,Holo Skipper Delta,Uncommon,Corporate Canals
511,Cyber Pike Specter,Rare,Deep Abyss
512,Neon Kraken Cipher,Epic,Frozen Docks
513,Grim Seahorse Flux,Epic,Flooded Metro
514,Void Kraken Omega,Rare,Toxic Reefs
515,Circuit Squid Delta,Legendary,Neon Harbor
516,Drift Ray Nova,Common,Corporate Canals
517,Grim Carp MK-I,Epic,Frozen Docks
518,Void Eel Ion,Uncommon,Flooded Metro
519,Echo Whale Zero,Legendary,Corporate Canals
520,Solar Minnow Core,Epic,Skywater Reservoir
521,Chrome Marlin Pulse,Uncommon,Blackwater Trenches
522,Holo Pike Vortex,Epic,Neon Harbor
523,Holo Perch Core,Epic,Frozen Docks
524,Turbo Leviathan Omega,Uncommon,Flooded Metro
